time	SWE(1)	SWE(2)	SWE(3)
26948	0	0	0
26948.04167	0	0	0
26948.08333	0	0	0
26948.125	0	0	0
26948.16667	0	0	0
26948.20833	0	0	0
26948.25	0	0	0
26948.29167	0	0	0
26948.33333	0	0	0
26948.375	0	0	0
26948.41667	0	0	0
26948.45833	0	0	0
26948.5	0	0	0
26948.54167	0	0	0
26948.58333	0	0	0
26948.625	0	0	0
26948.66667	0	0	0
26948.70833	0	0	0
26948.75	0	0	0
26948.79167	0	0	0
26948.83333	0	0	0
26948.875	0	0	0
26948.91667	0	0	0
26948.95833	0	0	0
26949	0	0	0
26949.04167	0	0	0
26949.08333	0	0	0
26949.125	0	0	0
26949.16667	0	0	0
26949.20833	0	0	0
26949.25	0	0	0
26949.29167	0	0	0
26949.33333	0	0	0
26949.375	0	0	0
26949.41667	0	0	0
26949.45833	0	0	0
26949.5	0	0	0
26949.54167	0	0	0
26949.58333	0	0	0
26949.625	0	0	0
26949.66667	0	0	0
26949.70833	0	0	0
26949.75	0	0	0
26949.79167	0	0	0
26949.83333	0	0	0
26949.875	0	0	0
26949.91667	0	0	0
26949.95833	0	0	0
26950	0	0	0
26950.04167	0	0	0
26950.08333	0	0	0
26950.125	0	0	0
26950.16667	0	0	0
26950.20833	0	0	0
26950.25	0	0	0
26950.29167	0	0	0
26950.33333	0	0	0
26950.375	0	0	0
26950.41667	0	0	0
26950.45833	0	0	0
26950.5	0	0	0
26950.54167	0	0	0
26950.58333	0	0	0
26950.625	0	0	0
26950.66667	0	0	0
26950.70833	0	0	0
26950.75	0	0	0
26950.79167	0	0	0
26950.83333	0	0	0
26950.875	0	0	0
26950.91667	0	0	0
26950.95833	0	0	0
26951	0	0	0
26951.04167	0	0	0
26951.08333	0	0	0
26951.125	0	0	0
26951.16667	0	0	0
26951.20833	0	0	0
26951.25	0	0	0
26951.29167	0	0	0
26951.33333	0	0	0
26951.375	0	0	0
26951.41667	0	0	0
26951.45833	0	0	0
26951.5	0	0	0
26951.54167	0	0	0
26951.58333	0	0	0
26951.625	0	0	0
26951.66667	0	0	0
26951.70833	0	0	0
26951.75	0	0	0
26951.79167	0	0	0
26951.83333	0	0	0
26951.875	0	0	0
26951.91667	0	0	0
26951.95833	0	0	0
26952	0	0	0
26952.04167	0	0	0
26952.08333	0	0	0
26952.125	0	0	0
26952.16667	0	0	0
26952.20833	0	0	0
26952.25	0	0	0
26952.29167	0	0	0
26952.33333	0	0	0
26952.375	0	0	0
26952.41667	0	0	0
26952.45833	0	0	0
26952.5	0	0	0
26952.54167	0	0	0
26952.58333	0	0	0
26952.625	0	0	0
26952.66667	0	0	0
26952.70833	0	0	0
26952.75	0	0	0
26952.79167	0	0	0
26952.83333	0	0	0
26952.875	0	0	0
26952.91667	0	0	0
26952.95833	0	0	0
26953	0	0	0
26953.04167	0	0	0
26953.08333	0	0	0
26953.125	0	0	0
26953.16667	0	0	0
26953.20833	0	0	0
26953.25	0	0	0
26953.29167	0	0	0
26953.33333	0	0	0
26953.375	0	0	0
26953.41667	0	0	0
26953.45833	0	0	0
26953.5	0	0	0
26953.54167	0	0	0
26953.58333	0	0	0
26953.625	0	0	0
26953.66667	0	0	0
26953.70833	0	0	0
26953.75	0	0	0
26953.79167	0	0	0
26953.83333	0	0	0
26953.875	0	0	0
26953.91667	0	0	0
26953.95833	0	0	0
26954	0	0	0
26954.04167	0	0	0
26954.08333	0	0	0
26954.125	0	0	0
26954.16667	0	0	0
26954.20833	0	0	0
26954.25	0	0	0
26954.29167	0	0	0
26954.33333	0	0	0
26954.375	0	0	0
26954.41667	0	0	0
26954.45833	0	0	0
26954.5	0	0	0
26954.54167	0	0	0
26954.58333	0	0	0
26954.625	0	0	0
26954.66667	0	0	0
26954.70833	0	0	0
26954.75	0	0	0
26954.79167	0	0	0
26954.83333	0	0	0
26954.875	0	0	0
26954.91667	0	0	0
26954.95833	0	0	0
26955	0	0	0
26955.04167	0	0	0
26955.08333	0	0	0
26955.125	0	0	0
26955.16667	0	0	0
26955.20833	0	0	0
26955.25	0	0	0
