time	SWE(1)	SWE(2)	SWE(3)
units	(mm)	(mm)	(mm)
27123.45833	53.6436	101.751	332.374
27123.5	53.6436	101.751	332.374
27123.54167	53.6436	101.751	332.374
27123.58333	53.6436	101.751	332.374
27123.625	53.6436	101.751	332.374
27123.66667	53.6436	101.751	332.374
27123.70833	53.6436	101.751	332.374
27123.75	53.6436	101.751	332.374
27123.79167	53.6436	101.751	332.374
27123.83333	53.6436	101.751	332.374
27123.875	53.6436	101.751	332.374
27123.91667	53.6436	101.751	332.374
27123.95833	53.6436	101.751	332.374
27124	53.6436	101.751	332.374
27124.04167	53.6681	101.775	332.399
27124.08333	53.6926	101.8	332.423
27124.125	53.7171	101.824	332.448
27124.16667	53.7415	101.849	332.472
27124.20833	53.766	101.873	332.497
27124.25	53.7905	101.898	332.521
27124.29167	53.815	101.922	332.546
27124.33333	53.8395	101.947	332.57
27124.375	53.8639	101.971	332.595
27124.41667	53.8884	101.996	332.619
27124.45833	53.9129	102.02	332.644
27124.5	53.9129	102.02	332.644
27124.54167	53.9129	102.02	332.644
27124.58333	53.9129	102.02	332.644
27124.625	53.9129	102.02	332.644
27124.66667	53.9129	102.02	332.644
27124.70833	53.9129	102.02	332.644
27124.75	53.9129	102.02	332.644
27124.79167	53.9374	102.045	332.668
27124.83333	53.9504	102.058	332.681
27124.875	53.9345	102.042	332.665
27124.91667	53.8199	101.927	332.551
27124.95833	53.7044	101.812	332.435
27125	53.5395	101.647	332.27
27125.04167	53.5602	101.667	332.291
27125.08333	53.5799	101.687	332.311
27125.125	53.2	101.307	331.931
27125.16667	52.817	100.924	331.548
27125.20833	52.4309	100.538	331.162
27125.25	52.0431	100.15	330.774
27125.29167	51.6522	99.7594	330.383
27125.33333	51.2034	99.3106	329.934
27125.375	50.8089	98.9161	329.54
27125.41667	50.5579	98.6651	329.289
27125.45833	50.5664	98.6736	329.297
27125.5	50.5738	98.6811	329.305
27125.54167	50.4627	98.5699	329.193
27125.58333	50.2087	98.3159	328.94
27125.625	50.0652	98.1724	328.796
27125.66667	50.0343	98.1415	328.765
27125.70833	50.0026	98.1098	328.733
27125.75	50.0047	98.1119	328.736
27125.79167	50.054	98.1612	328.785
27125.83333	50.1984	98.3056	328.929
27125.875	50.3417	98.4489	329.073
27125.91667	50.4593	98.5665	329.19
27125.95833	50.6141	98.7213	329.345
27126	50.8034	98.9107	329.534
27126.04167	50.7986	98.9058	329.529
27126.08333	50.7986	98.9058	329.529
27126.125	50.7986	98.9058	329.529
27126.16667	50.7986	98.9058	329.529
27126.20833	50.7986	98.9058	329.529
27126.25	50.7986	98.9058	329.529
27126.29167	50.7986	98.9058	329.529
27126.33333	50.7986	98.9058	329.529
27126.375	50.7986	98.9058	329.529
27126.41667	50.7986	98.9058	329.529
27126.45833	50.7986	98.9058	329.529
27126.5	50.7986	98.9058	329.529
27126.54167	50.7986	98.9058	329.529
27126.58333	50.7986	98.9058	329.529
27126.625	50.7986	98.9058	329.529
27126.66667	50.7986	98.9058	329.529
27126.70833	50.7986	98.9058	329.529
27126.75	50.7986	98.9058	329.529
27126.79167	50.7986	98.9058	329.529
27126.83333	50.7986	98.9058	329.529
27126.875	50.7986	98.9058	329.529
27126.91667	50.7986	98.9058	329.529
