time	XOutVar(1)	XOutVar(2)	XOutVar(3)	Y(1)	Y(2)	Y(3)	Z(1)	Z(2)	Z(3)
26938.04167	0.052336	-0.052336	0.99999	0.618	0.67053	0.72512	3.09	3.193	3.296
26938.08333	0.104528	-0.104528	0.999958	0.558	0.60543	0.65472	2.79	2.883	2.976
26938.125	0.156434	-0.156434	0.999906	0.486	0.52731	0.57024	2.43	2.511	2.592
26938.16667	0.207912	-0.207912	0.999833	0.438	0.47523	0.51392	2.19	2.263	2.336
26938.20833	0.258819	-0.258819	0.999739	0.432	0.46872	0.50688	2.16	2.232	2.304
26938.25	0.309017	-0.309017	0.999624	0.408	0.44268	0.47872	2.04	2.108	2.176
26938.29167	0.358368	-0.358368	0.999489	0.408	0.44268	0.47872	2.04	2.108	2.176
26938.33333	0.406737	-0.406737	0.999332	0.444	0.48174	0.52096	2.22	2.294	2.368
26938.375	0.45399	-0.45399	0.999155	0.486	0.52731	0.57024	2.43	2.511	2.592
26938.41667	0.5	-0.5	0.998956	0.492	0.53382	0.57728	2.46	2.542	2.624
26938.45833	0.544639	-0.544639	0.998737	0.516	0.55986	0.60544	2.58	2.666	2.752
26938.5	0.587785	-0.587785	0.998497	0.51	0.55335	0.5984	2.55	2.635	2.72
26938.54167	0.62932	-0.62932	0.998236	0.528	0.57288	0.61952	2.64	2.728	2.816
26938.58333	0.669131	-0.669131	0.997955	0.552	0.59892	0.64768	2.76	2.852	2.944
26938.625	0.707107	-0.707107	0.997652	0.558	0.60543	0.65472	2.79	2.883	2.976
26938.66667	0.743145	-0.743145	0.997329	0.576	0.62496	0.67584	2.88	2.976	3.072
26938.70833	0.777146	-0.777146	0.996985	0.576	0.62496	0.67584	2.88	2.976	3.072
26938.75	0.809017	-0.809017	0.99662	0.57	0.61845	0.6688	2.85	2.945	3.04
26938.79167	0.838671	-0.838671	0.996234	0.546	0.59241	0.64064	2.73	2.821	2.912
26938.83333	0.866025	-0.866025	0.995827	0.522	0.56637	0.61248	2.61	2.697	2.784
26938.875	0.891007	-0.891007	0.9954	0.486	0.52731	0.57024	2.43	2.511	2.592
26938.91667	0.913545	-0.913545	0.994952	0.462	0.50127	0.54208	2.31	2.387	2.464
26938.95833	0.93358	-0.93358	0.994483	0.438	0.47523	0.51392	2.19	2.263	2.336
26939	0.951057	-0.951057	0.993993	0.372	0.40362	0.43648	1.86	1.922	1.984
26939.04167	0.965926	-0.965926	0.993483	0.342	0.37107	0.40128	1.71	1.767	1.824
26939.08333	0.978148	-0.978148	0.992951	0.33	0.35805	0.3872	1.65	1.705	1.76
26939.125	0.987688	-0.987688	0.9924	0.282	0.30597	0.33088	1.41	1.457	1.504
26939.16667	0.994522	-0.994522	0.991827	0.168	0.18228	0.19712	0.84	0.868	0.896
26939.20833	0.99863	-0.99863	0.991234	0.036	0.03906	0.04224	0.18	0.186	0.192
26939.25	1	-1	0.99062	0.012	0.01302	0.01408	0.06	0.062	0.064
26939.29167	0.99863	-0.99863	0.989985	0.048	0.05208	0.05632	0.24	0.248	0.256
26939.33333	0.994522	-0.994522	0.989329	0.144	0.15624	0.16896	0.72	0.744	0.768
26939.375	0.987688	-0.987688	0.988653	0.306	0.33201	0.35904	1.53	1.581	1.632
26939.41667	0.978148	-0.978148	0.987957	0.426	0.46221	0.49984	2.13	2.201	2.272
26939.45833	0.965926	-0.965926	0.987239	0.51	0.55335	0.5984	2.55	2.635	2.72
26939.5	0.951057	-0.951057	0.986501	0.606	0.65751	0.71104	3.03	3.131	3.232
26939.54167	0.93358	-0.93358	0.985743	0.534	0.57939	0.62656	2.67	2.759	2.848
26939.58333	0.913545	-0.913545	0.984964	0.546	0.59241	0.64064	2.73	2.821	2.912
26939.625	0.891007	-0.891007	0.984164	0.582	0.63147	0.68288	2.91	3.007	3.104
26939.66667	0.866025	-0.866025	0.983344	0.516	0.55986	0.60544	2.58	2.666	2.752
26939.70833	0.838671	-0.838671	0.982503	0.414	0.44919	0.48576	2.07	2.139	2.208
26939.75	0.809017	-0.809017	0.981642	0.384	0.41664	0.45056	1.92	1.984	2.048
26939.79167	0.777146	-0.777146	0.98076	0.384	0.41664	0.45056	1.92	1.984	2.048
26939.83333	0.743145	-0.743145	0.979858	0.366	0.39711	0.42944	1.83	1.891	1.952
26939.875	0.707107	-0.707107	0.978935	0.288	0.31248	0.33792	1.44	1.488	1.536
26939.91667	0.669131	-0.669131	0.977992	0.144	0.15624	0.16896	0.72	0.744	0.768
26939.95833	0.62932	-0.62932	0.977029	0.084	0.09114	0.09856	0.42	0.434	0.448
26940	0.587785	-0.587785	0.976045	0.03	0.03255	0.0352	0.15	0.155	0.16
26940.04167	0.544639	-0.544639	0.97504	0.006	0.00651	0.00704	0.03	0.031	0.032
26940.08333	0.5	-0.5	0.974016	0.036	0.03906	0.04224	0.18	0.186	0.192
26940.125	0.45399	-0.45399	0.972971	-0.042	-0.04557	-0.04928	-0.21	-0.217	-0.224
26940.16667	0.406737	-0.406737	0.971905	-0.06	-0.0651	-0.0704	-0.3	-0.31	-0.32
26940.20833	0.358368	-0.358368	0.97082	-0.084	-0.09114	-0.09856	-0.42	-0.434	-0.448
26940.25	0.309017	-0.309017	0.969714	-0.102	-0.11067	-0.11968	-0.51	-0.527	-0.544
26940.29167	0.258819	-0.258819	0.968588	-0.096	-0.10416	-0.11264	-0.48	-0.496	-0.512
26940.33333	0.207912	-0.207912	0.967441	-0.012	-0.01302	-0.01408	-0.06	-0.062	-0.064
26940.375	0.156434	-0.156434	0.966275	0.15	0.16275	0.176	0.75	0.775	0.8
26940.41667	0.104528	-0.104528	0.965088	0.342	0.37107	0.40128	1.71	1.767	1.824
26940.45833	0.052336	-0.052336	0.963881	0.51	0.55335	0.5984	2.55	2.635	2.72
26940.5	1.22461E-16	-2.44921E-16	0.962654	0.636	0.69006	0.74624	3.18	3.286	3.392
26940.54167	-0.052336	0.052336	0.961407	0.726	0.78771	0.85184	3.63	3.751	3.872
26940.58333	-0.104528	0.104528	0.96014	0.804	0.87234	0.94336	4.02	4.154	4.288
26940.625	-0.156434	0.156434	0.958853	0.834	0.90489	0.97856	4.17	4.309	4.448
26940.66667	-0.207912	0.207912	0.957545	0.852	0.92442	0.99968	4.26	4.402	4.544
26940.70833	-0.258819	0.258819	0.956218	0.846	0.91791	0.99264	4.23	4.371	4.512
26940.75	-0.309017	0.309017	0.954871	0.732	0.79422	0.85888	3.66	3.782	3.904
26940.79167	-0.358368	0.358368	0.953504	0.522	0.56637	0.61248	2.61	2.697	2.784
26940.83333	-0.406737	0.406737	0.952117	0.36	0.3906	0.4224	1.8	1.86	1.92
26940.875	-0.45399	0.45399	0.95071	0.312	0.33852	0.36608	1.56	1.612	1.664
26940.91667	-0.5	0.5	0.949283	0.294	0.31899	0.34496	1.47	1.519	1.568
26940.95833	-0.544639	0.544639	0.947837	0.216	0.23436	0.25344	1.08	1.116	1.152
26941	-0.587785	0.587785	0.94637	0.186	0.20181	0.21824	0.93	0.961	0.992
26941.04167	-0.62932	0.62932	0.944884	0.168	0.18228	0.19712	0.84	0.868	0.896
26941.08333	-0.669131	0.669131	0.943378	0.138	0.14973	0.16192	0.69	0.713	0.736
26941.125	-0.707107	0.707107	0.941853	0.168	0.18228	0.19712	0.84	0.868	0.896
26941.16667	-0.743145	0.743145	0.940307	0.09	0.09765	0.1056	0.45	0.465	0.48
26941.20833	-0.777146	0.777146	0.938743	0.042	0.04557	0.04928	0.21	0.217	0.224
26941.25	-0.809017	0.809017	0.937158	0.012	0.01302	0.01408	0.06	0.062	0.064
26941.29167	-0.838671	0.838671	0.935554	-0.048	-0.05208	-0.05632	-0.24	-0.248	-0.256
26941.33333	-0.866025	0.866025	0.933931	0.012	0.01302	0.01408	0.06	0.062	0.064
26941.375	-0.891007	0.891007	0.932288	0.246	0.26691	0.28864	1.23	1.271	1.312
26941.41667	-0.913545	0.913545	0.930625	0.528	0.57288	0.61952	2.64	2.728	2.816
26941.45833	-0.93358	0.93358	0.928943	0.702	0.76167	0.82368	3.51	3.627	3.744
26941.5	-0.951057	0.951057	0.927242	0.78	0.8463	0.9152	3.9	4.03	4.16
26941.54167	-0.965926	0.965926	0.925521	0.828	0.89838	0.97152	4.14	4.278	4.416
26941.58333	-0.978148	0.978148	0.923781	0.882	0.95697	1.03488	4.41	4.557	4.704
26941.625	-0.987688	0.987688	0.922022	0.906	0.98301	1.06304	4.53	4.681	4.832
26941.66667	-0.994522	0.994522	0.920243	0.888	0.96348	1.04192	4.44	4.588	4.736
26941.70833	-0.99863	0.99863	0.918445	0.864	0.93744	1.01376	4.32	4.464	4.608
26941.75	-1	1	0.916628	0.744	0.80724	0.87296	3.72	3.844	3.968
26941.79167	-0.99863	0.99863	0.914792	0.606	0.65751	0.71104	3.03	3.131	3.232
26941.83333	-0.994522	0.994522	0.912937	0.462	0.50127	0.54208	2.31	2.387	2.464
26941.875	-0.987688	0.987688	0.911063	0.384	0.41664	0.45056	1.92	1.984	2.048
26941.91667	-0.978148	0.978148	0.90917	0.288	0.31248	0.33792	1.44	1.488	1.536
26941.95833	-0.965926	0.965926	0.907257	0.228	0.24738	0.26752	1.14	1.178	1.216
26942	-0.951057	0.951057	0.905326	0.222	0.24087	0.26048	1.11	1.147	1.184
26942.04167	-0.93358	0.93358	0.903376	0.15	0.16275	0.176	0.75	0.775	0.8
26942.08333	-0.913545	0.913545	0.901407	0.096	0.10416	0.11264	0.48	0.496	0.512
26942.125	-0.891007	0.891007	0.899419	0.102	0.11067	0.11968	0.51	0.527	0.544
26942.16667	-0.866025	0.866025	0.897413	0.108	0.11718	0.12672	0.54	0.558	0.576
26942.20833	-0.838671	0.838671	0.895388	0.102	0.11067	0.11968	0.51	0.527	0.544
26942.25	-0.809017	0.809017	0.893344	0.096	0.10416	0.11264	0.48	0.496	0.512
26942.29167	-0.777146	0.777146	0.891281	0.102	0.11067	0.11968	0.51	0.527	0.544
26942.33333	-0.743145	0.743145	0.8892	0.132	0.14322	0.15488	0.66	0.682	0.704
26942.375	-0.707107	0.707107	0.8871	0.336	0.36456	0.39424	1.68	1.736	1.792
26942.41667	-0.669131	0.669131	0.884982	0.564	0.61194	0.66176	2.82	2.914	3.008
26942.45833	-0.62932	0.62932	0.882845	0.738	0.80073	0.86592	3.69	3.813	3.936
26942.5	-0.587785	0.587785	0.88069	0.87	0.94395	1.0208	4.35	4.495	4.64
26942.54167	-0.544639	0.544639	0.878516	0.99	1.07415	1.1616	4.95	5.115	5.28
26942.58333	-0.5	0.5	0.876324	1.128	1.22388	1.32352	5.64	5.828	6.016
26942.625	-0.45399	0.45399	0.874114	1.212	1.31502	1.42208	6.06	6.262	6.464
26942.66667	-0.406737	0.406737	0.871885	1.218	1.32153	1.42912	6.09	6.293	6.496
26942.70833	-0.358368	0.358368	0.869639	1.188	1.28898	1.39392	5.94	6.138	6.336
26942.75	-0.309017	0.309017	0.867374	1.032	1.11972	1.21088	5.16	5.332	5.504
26942.79167	-0.258819	0.258819	0.865091	0.768	0.83328	0.90112	3.84	3.968	4.096
26942.83333	-0.207912	0.207912	0.86279	0.546	0.59241	0.64064	2.73	2.821	2.912
26942.875	-0.156434	0.156434	0.860471	0.474	0.51429	0.55616	2.37	2.449	2.528
26942.91667	-0.104528	0.104528	0.858134	0.444	0.48174	0.52096	2.22	2.294	2.368
26942.95833	-0.052336	0.052336	0.855779	0.414	0.44919	0.48576	2.07	2.139	2.208
26943	-2.44921E-16	3.67382E-16	0.853406	0.324	0.35154	0.38016	1.62	1.674	1.728
26943.04167	0.052336	-0.052336	0.851015	0.294	0.31899	0.34496	1.47	1.519	1.568
26943.08333	0.104528	-0.104528	0.848607	0.342	0.37107	0.40128	1.71	1.767	1.824
26943.125	0.156434	-0.156434	0.846181	0.276	0.29946	0.32384	1.38	1.426	1.472
26943.16667	0.207912	-0.207912	0.843737	0.186	0.20181	0.21824	0.93	0.961	0.992
26943.20833	0.258819	-0.258819	0.841276	0.15	0.16275	0.176	0.75	0.775	0.8
26943.25	0.309017	-0.309017	0.838797	0.114	0.12369	0.13376	0.57	0.589	0.608
26943.29167	0.358368	-0.358368	0.8363	0.108	0.11718	0.12672	0.54	0.558	0.576
26943.33333	0.406737	-0.406737	0.833786	0.108	0.11718	0.12672	0.54	0.558	0.576
26943.375	0.45399	-0.45399	0.831255	0.198	0.21483	0.23232	0.99	1.023	1.056
26943.41667	0.5	-0.5	0.828706	0.342	0.37107	0.40128	1.71	1.767	1.824
26943.45833	0.544639	-0.544639	0.82614	0.462	0.50127	0.54208	2.31	2.387	2.464
26943.5	0.587785	-0.587785	0.823557	0.594	0.64449	0.69696	2.97	3.069	3.168
26943.54167	0.62932	-0.62932	0.820957	0.684	0.74214	0.80256	3.42	3.534	3.648
26943.58333	0.669131	-0.669131	0.818339	0.768	0.83328	0.90112	3.84	3.968	4.096
26943.625	0.707107	-0.707107	0.815705	0.828	0.89838	0.97152	4.14	4.278	4.416
26943.66667	0.743145	-0.743145	0.813053	0.894	0.96999	1.04896	4.47	4.619	4.768
26943.70833	0.777146	-0.777146	0.810384	0.918	0.99603	1.07712	4.59	4.743	4.896
26943.75	0.809017	-0.809017	0.807699	0.828	0.89838	0.97152	4.14	4.278	4.416
26943.79167	0.838671	-0.838671	0.804996	0.684	0.74214	0.80256	3.42	3.534	3.648
26943.83333	0.866025	-0.866025	0.802277	0.558	0.60543	0.65472	2.79	2.883	2.976
26943.875	0.891007	-0.891007	0.799541	0.546	0.59241	0.64064	2.73	2.821	2.912
26943.91667	0.913545	-0.913545	0.796788	0.516	0.55986	0.60544	2.58	2.666	2.752
26943.95833	0.93358	-0.93358	0.794019	0.486	0.52731	0.57024	2.43	2.511	2.592
26944	0.951057	-0.951057	0.791233	0.504	0.54684	0.59136	2.52	2.604	2.688
26944.04167	0.965926	-0.965926	0.788431	0.528	0.57288	0.61952	2.64	2.728	2.816
26944.08333	0.978148	-0.978148	0.785612	0.528	0.57288	0.61952	2.64	2.728	2.816
26944.125	0.987688	-0.987688	0.782776	0.414	0.44919	0.48576	2.07	2.139	2.208
26944.16667	0.994522	-0.994522	0.779925	0.306	0.33201	0.35904	1.53	1.581	1.632
26944.20833	0.99863	-0.99863	0.777057	0.306	0.33201	0.35904	1.53	1.581	1.632
26944.25	1	-1	0.774173	0.342	0.37107	0.40128	1.71	1.767	1.824
26944.29167	0.99863	-0.99863	0.771272	0.366	0.39711	0.42944	1.83	1.891	1.952
26944.33333	0.994522	-0.994522	0.768356	0.366	0.39711	0.42944	1.83	1.891	1.952
26944.375	0.987688	-0.987688	0.765424	0.414	0.44919	0.48576	2.07	2.139	2.208
26944.41667	0.978148	-0.978148	0.762475	0.468	0.50778	0.54912	2.34	2.418	2.496
26944.45833	0.965926	-0.965926	0.759511	0.6	0.651	0.704	3	3.1	3.2
26944.5	0.951057	-0.951057	0.756531	0.774	0.83979	0.90816	3.87	3.999	4.128
26944.54167	0.93358	-0.93358	0.753535	1.014	1.10019	1.18976	5.07	5.239	5.408
26944.58333	0.913545	-0.913545	0.750523	1.194	1.29549	1.40096	5.97	6.169	6.368
26944.625	0.891007	-0.891007	0.747495	1.182	1.28247	1.38688	5.91	6.107	6.304
26944.66667	0.866025	-0.866025	0.744452	1.098	1.19133	1.28832	5.49	5.673	5.856
26944.70833	0.838671	-0.838671	0.741394	1.032	1.11972	1.21088	5.16	5.332	5.504
26944.75	0.809017	-0.809017	0.73832	0.9	0.9765	1.056	4.5	4.65	4.8
26944.79167	0.777146	-0.777146	0.735231	0.786	0.85281	0.92224	3.93	4.061	4.192
26944.83333	0.743145	-0.743145	0.732126	0.636	0.69006	0.74624	3.18	3.286	3.392
26944.875	0.707107	-0.707107	0.729006	0.462	0.50127	0.54208	2.31	2.387	2.464
26944.91667	0.669131	-0.669131	0.72587	0.318	0.34503	0.37312	1.59	1.643	1.696
26944.95833	0.62932	-0.62932	0.72272	0.234	0.25389	0.27456	1.17	1.209	1.248
26945	0.587785	-0.587785	0.719554	0.216	0.23436	0.25344	1.08	1.116	1.152
26945.04167	0.544639	-0.544639	0.716374	0.216	0.23436	0.25344	1.08	1.116	1.152
26945.08333	0.5	-0.5	0.713178	0.246	0.26691	0.28864	1.23	1.271	1.312
26945.125	0.45399	-0.45399	0.709968	0.204	0.22134	0.23936	1.02	1.054	1.088
26945.16667	0.406737	-0.406737	0.706743	0.144	0.15624	0.16896	0.72	0.744	0.768
26945.20833	0.358368	-0.358368	0.703503	0.114	0.12369	0.13376	0.57	0.589	0.608
26945.25	0.309017	-0.309017	0.700248	0.048	0.05208	0.05632	0.24	0.248	0.256
26945.29167	0.258819	-0.258819	0.696979	-0.006	-0.00651	-0.00704	-0.03	-0.031	-0.032
26945.33333	0.207912	-0.207912	0.693695	0.036	0.03906	0.04224	0.18	0.186	0.192
26945.375	0.156434	-0.156434	0.690397	0.234	0.25389	0.27456	1.17	1.209	1.248
26945.41667	0.104528	-0.104528	0.687084	0.372	0.40362	0.43648	1.86	1.922	1.984
26945.45833	0.052336	-0.052336	0.683757	0.498	0.54033	0.58432	2.49	2.573	2.656
26945.5	3.67382E-16	-4.89843E-16	0.680415	0.588	0.63798	0.68992	2.94	3.038	3.136
26945.54167	-0.052336	0.052336	0.67706	0.648	0.70308	0.76032	3.24	3.348	3.456
26945.58333	-0.104528	0.104528	0.67369	0.678	0.73563	0.79552	3.39	3.503	3.616
26945.625	-0.156434	0.156434	0.670306	0.666	0.72261	0.78144	3.33	3.441	3.552
26945.66667	-0.207912	0.207912	0.666909	0.666	0.72261	0.78144	3.33	3.441	3.552
26945.70833	-0.258819	0.258819	0.663497	0.582	0.63147	0.68288	2.91	3.007	3.104
26945.75	-0.309017	0.309017	0.660071	0.312	0.33852	0.36608	1.56	1.612	1.664
26945.79167	-0.358368	0.358368	0.656632	0.138	0.14973	0.16192	0.69	0.713	0.736
26945.83333	-0.406737	0.406737	0.653179	0.048	0.05208	0.05632	0.24	0.248	0.256
26945.875	-0.45399	0.45399	0.649712	0.012	0.01302	0.01408	0.06	0.062	0.064
26945.91667	-0.5	0.5	0.646232	-0.126	-0.13671	-0.14784	-0.63	-0.651	-0.672
26945.95833	-0.544639	0.544639	0.642738	-0.222	-0.24087	-0.26048	-1.11	-1.147	-1.184
26946	-0.587785	0.587785	0.639231	-0.168	-0.18228	-0.19712	-0.84	-0.868	-0.896
26946.04167	-0.62932	0.62932	0.635711	-0.264	-0.28644	-0.30976	-1.32	-1.364	-1.408
26946.08333	-0.669131	0.669131	0.632177	-0.312	-0.33852	-0.36608	-1.56	-1.612	-1.664
26946.125	-0.707107	0.707107	0.62863	-0.294	-0.31899	-0.34496	-1.47	-1.519	-1.568
26946.16667	-0.743145	0.743145	0.62507	-0.402	-0.43617	-0.47168	-2.01	-2.077	-2.144
26946.20833	-0.777146	0.777146	0.621497	-0.426	-0.46221	-0.49984	-2.13	-2.201	-2.272
26946.25	-0.809017	0.809017	0.617911	-0.396	-0.42966	-0.46464	-1.98	-2.046	-2.112
26946.29167	-0.838671	0.838671	0.614312	-0.402	-0.43617	-0.47168	-2.01	-2.077	-2.144
26946.33333	-0.866025	0.866025	0.6107	-0.408	-0.44268	-0.47872	-2.04	-2.108	-2.176
26946.375	-0.891007	0.891007	0.607075	-0.216	-0.23436	-0.25344	-1.08	-1.116	-1.152
26946.41667	-0.913545	0.913545	0.603438	0.15	0.16275	0.176	0.75	0.775	0.8
26946.45833	-0.93358	0.93358	0.599788	0.456	0.49476	0.53504	2.28	2.356	2.432
26946.5	-0.951057	0.951057	0.596126	0.618	0.67053	0.72512	3.09	3.193	3.296
26946.54167	-0.965926	0.965926	0.592451	0.696	0.75516	0.81664	3.48	3.596	3.712
26946.58333	-0.978148	0.978148	0.588764	0.744	0.80724	0.87296	3.72	3.844	3.968
26946.625	-0.987688	0.987688	0.585064	0.756	0.82026	0.88704	3.78	3.906	4.032
26946.66667	-0.994522	0.994522	0.581352	0.774	0.83979	0.90816	3.87	3.999	4.128
26946.70833	-0.99863	0.99863	0.577629	0.708	0.76818	0.83072	3.54	3.658	3.776
26946.75	-1	1	0.573893	0.516	0.55986	0.60544	2.58	2.666	2.752
26946.79167	-0.99863	0.99863	0.570145	0.324	0.35154	0.38016	1.62	1.674	1.728
26946.83333	-0.994522	0.994522	0.566385	0.252	0.27342	0.29568	1.26	1.302	1.344
26946.875	-0.987688	0.987688	0.562613	0.174	0.18879	0.20416	0.87	0.899	0.928
26946.91667	-0.978148	0.978148	0.55883	0.048	0.05208	0.05632	0.24	0.248	0.256
26946.95833	-0.965926	0.965926	0.555035	-0.096	-0.10416	-0.11264	-0.48	-0.496	-0.512
26947	-0.951057	0.951057	0.551228	-0.084	-0.09114	-0.09856	-0.42	-0.434	-0.448
26947.04167	-0.93358	0.93358	0.54741	-0.072	-0.07812	-0.08448	-0.36	-0.372	-0.384
26947.08333	-0.913545	0.913545	0.543581	-0.12	-0.1302	-0.1408	-0.6	-0.62	-0.64
26947.125	-0.891007	0.891007	0.53974	-0.192	-0.20832	-0.22528	-0.96	-0.992	-1.024
26947.16667	-0.866025	0.866025	0.535888	-0.336	-0.36456	-0.39424	-1.68	-1.736	-1.792
26947.20833	-0.838671	0.838671	0.532024	-0.414	-0.44919	-0.48576	-2.07	-2.139	-2.208
26947.25	-0.809017	0.809017	0.52815	-0.402	-0.43617	-0.47168	-2.01	-2.077	-2.144
26947.29167	-0.777146	0.777146	0.524264	-0.426	-0.46221	-0.49984	-2.13	-2.201	-2.272
26947.33333	-0.743145	0.743145	0.520368	-0.396	-0.42966	-0.46464	-1.98	-2.046	-2.112
26947.375	-0.707107	0.707107	0.516461	-0.102	-0.11067	-0.11968	-0.51	-0.527	-0.544
26947.41667	-0.669131	0.669131	0.512543	0.198	0.21483	0.23232	0.99	1.023	1.056
26947.45833	-0.62932	0.62932	0.508614	0.204	0.22134	0.23936	1.02	1.054	1.088
26947.5	-0.587785	0.587785	0.504674	0.21	0.22785	0.2464	1.05	1.085	1.12
26947.54167	-0.544639	0.544639	0.500724	0.216	0.23436	0.25344	1.08	1.116	1.152
26947.58333	-0.5	0.5	0.496764	0.222	0.24087	0.26048	1.11	1.147	1.184
26947.625	-0.45399	0.45399	0.492793	0.228	0.24738	0.26752	1.14	1.178	1.216
26947.66667	-0.406737	0.406737	0.488812	0.234	0.25389	0.27456	1.17	1.209	1.248
26947.70833	-0.358368	0.358368	0.484821	0.24	0.2604	0.2816	1.2	1.24	1.28
26947.75	-0.309017	0.309017	0.48082	0.246	0.26691	0.28864	1.23	1.271	1.312
26947.79167	-0.258819	0.258819	0.476808	0.252	0.27342	0.29568	1.26	1.302	1.344
26947.83333	-0.207912	0.207912	0.472787	0.258	0.27993	0.30272	1.29	1.333	1.376
26947.875	-0.156434	0.156434	0.468755	0.264	0.28644	0.30976	1.32	1.364	1.408
26947.91667	-0.104528	0.104528	0.464714	0.27	0.29295	0.3168	1.35	1.395	1.44
26947.95833	-0.052336	0.052336	0.460664	0.276	0.29946	0.32384	1.38	1.426	1.472
26948	-4.89843E-16	6.12303E-16	0.456603	0.282	0.30597	0.33088	1.41	1.457	1.504
26948.04167	0.052336	-0.052336	0.452533	0.288	0.31248	0.33792	1.44	1.488	1.536
26948.08333	0.104528	-0.104528	0.448454	0.294	0.31899	0.34496	1.47	1.519	1.568
26948.125	0.156434	-0.156434	0.444365	0.3	0.3255	0.352	1.5	1.55	1.6
26948.16667	0.207912	-0.207912	0.440267	0.306	0.33201	0.35904	1.53	1.581	1.632
26948.20833	0.258819	-0.258819	0.43616	0.312	0.33852	0.36608	1.56	1.612	1.664
26948.25	0.309017	-0.309017	0.432044	0.318	0.34503	0.37312	1.59	1.643	1.696
26948.29167	0.358368	-0.358368	0.427919	0.324	0.35154	0.38016	1.62	1.674	1.728
26948.33333	0.406737	-0.406737	0.423784	0.33	0.35805	0.3872	1.65	1.705	1.76
26948.375	0.45399	-0.45399	0.419641	0.336	0.36456	0.39424	1.68	1.736	1.792
26948.41667	0.5	-0.5	0.41549	0.528	0.57288	0.61952	2.64	2.728	2.816
26948.45833	0.544639	-0.544639	0.411329	0.666	0.72261	0.78144	3.33	3.441	3.552
26948.5	0.587785	-0.587785	0.40716	0.768	0.83328	0.90112	3.84	3.968	4.096
26948.54167	0.62932	-0.62932	0.402982	0.846	0.91791	0.99264	4.23	4.371	4.512
26948.58333	0.669131	-0.669131	0.398796	0.888	0.96348	1.04192	4.44	4.588	4.736
26948.625	0.707107	-0.707107	0.394602	0.906	0.98301	1.06304	4.53	4.681	4.832
26948.66667	0.743145	-0.743145	0.390399	0.906	0.98301	1.06304	4.53	4.681	4.832
26948.70833	0.777146	-0.777146	0.386189	0.762	0.82677	0.89408	3.81	3.937	4.064
26948.75	0.809017	-0.809017	0.38197	0.516	0.55986	0.60544	2.58	2.666	2.752
26948.79167	0.838671	-0.838671	0.377743	0.408	0.44268	0.47872	2.04	2.108	2.176
26948.83333	0.866025	-0.866025	0.373508	0.336	0.36456	0.39424	1.68	1.736	1.792
26948.875	0.891007	-0.891007	0.369266	0.276	0.29946	0.32384	1.38	1.426	1.472
26948.91667	0.913545	-0.913545	0.365016	0.228	0.24738	0.26752	1.14	1.178	1.216
26948.95833	0.93358	-0.93358	0.360758	0.168	0.18228	0.19712	0.84	0.868	0.896
26949	0.951057	-0.951057	0.356493	0.138	0.14973	0.16192	0.69	0.713	0.736
26949.04167	0.965926	-0.965926	0.35222	0.144	0.15624	0.16896	0.72	0.744	0.768
26949.08333	0.978148	-0.978148	0.34794	0.138	0.14973	0.16192	0.69	0.713	0.736
26949.125	0.987688	-0.987688	0.343652	0.042	0.04557	0.04928	0.21	0.217	0.224
26949.16667	0.994522	-0.994522	0.339358	-0.024	-0.02604	-0.02816	-0.12	-0.124	-0.128
26949.20833	0.99863	-0.99863	0.335056	-0.072	-0.07812	-0.08448	-0.36	-0.372	-0.384
26949.25	1	-1	0.330748	-0.144	-0.15624	-0.16896	-0.72	-0.744	-0.768
26949.29167	0.99863	-0.99863	0.326432	-0.096	-0.10416	-0.11264	-0.48	-0.496	-0.512
26949.33333	0.994522	-0.994522	0.32211	0.12	0.1302	0.1408	0.6	0.62	0.64
26949.375	0.987688	-0.987688	0.317781	0.33	0.35805	0.3872	1.65	1.705	1.76
26949.41667	0.978148	-0.978148	0.313445	0.402	0.43617	0.47168	2.01	2.077	2.144
26949.45833	0.965926	-0.965926	0.309103	0.438	0.47523	0.51392	2.19	2.263	2.336
26949.5	0.951057	-0.951057	0.304754	0.474	0.51429	0.55616	2.37	2.449	2.528
26949.54167	0.93358	-0.93358	0.300399	0.582	0.63147	0.68288	2.91	3.007	3.104
26949.58333	0.913545	-0.913545	0.296038	0.666	0.72261	0.78144	3.33	3.441	3.552
26949.625	0.891007	-0.891007	0.29167	0.684	0.74214	0.80256	3.42	3.534	3.648
26949.66667	0.866025	-0.866025	0.287296	0.648	0.70308	0.76032	3.24	3.348	3.456
26949.70833	0.838671	-0.838671	0.282917	0.642	0.69657	0.75328	3.21	3.317	3.424
26949.75	0.809017	-0.809017	0.278531	0.486	0.52731	0.57024	2.43	2.511	2.592
26949.79167	0.777146	-0.777146	0.27414	0.306	0.33201	0.35904	1.53	1.581	1.632
26949.83333	0.743145	-0.743145	0.269743	0.168	0.18228	0.19712	0.84	0.868	0.896
26949.875	0.707107	-0.707107	0.26534	0.054	0.05859	0.06336	0.27	0.279	0.288
26949.91667	0.669131	-0.669131	0.260932	0.018	0.01953	0.02112	0.09	0.093	0.096
26949.95833	0.62932	-0.62932	0.256518	-0.024	-0.02604	-0.02816	-0.12	-0.124	-0.128
26950	0.587785	-0.587785	0.252099	-0.048	-0.05208	-0.05632	-0.24	-0.248	-0.256
